0.25 3.3539256425613504e-08 [9] [9] "[ True]"
0.5 6.164529984788539e-07 "[8 9]" "[8 9]" "[ True  True]"
0.75 1.1194817724512962e-06 "[9 8 9]" "[9 8 9]" "[ True  True  True]"
1.0 2.2433404444258614e-06 "[9 9 8 9]" "[9 9 8 9]" "[ True  True  True  True]"
1.25 5.520827682994516e-06 "[9 9 8 2 9]" "[9 9 8 2 9]" "[ True  True  True  True  True]"
1.5 5.922289714218014e-06 "[9 9 6 8 2 9]" "[9 9 6 8 2 9]" "[ True  True  True  True  True  True]"
1.75 9.74854383080418e-06 "[6 9 9 6 8 2 9]" "[6 9 9 6 8 2 9]" "[ True  True  True  True  True  True  True]"
2.0 1.0729160891979796e-05 "[9 6 9 9 6 8 2 9]" "[9 6 9 9 6 8 2 9]" "[ True  True  True  True  True  True  True  True]"
2.25 1.6160626048411308e-05 "[9 6 9 9 5 6 8 2 9]" "[9 6 9 9 5 6 8 2 9]" "[ True  True  True  True  True  True  True  True  True]"
2.5 3.5971290070389805e-05 "[9 6 9 9 5 6 8 2 9 6]" "[9 6 9 9 5 6 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True]"
2.75 4.671806451101945e-05 "[9 7 6 9 9 5 6 8 2 9 6]" "[9 7 6 9 9 5 6 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True]"
3.0 5.229019477341963e-05 "[9 7 6 9 9 5 6 9 8 2 9 6]" "[9 7 6 9 9 5 6 9 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True]"
3.25 5.936290633574345e-05 "[9 7 6 9 9 5 6 9 8 8 2 9 6]" "[9 7 6 9 9 5 6 9 8 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True]"
3.5 6.588161477283465e-05 "[9 7 6 9 9 5 6 9 7 8 8 2 9 6]" "[9 7 6 9 9 5 6 9 7 8 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True]"
3.5 0.00014788946091848042 "[9 7 6 9 9 5 6 9 7 8 3 8 2 9 6]" "[9 7 6 9 9 5 6 9 7 8 5 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True False  True
  True  True  True]"
3.75 0.00015843591861503512 "[9 7 9 6 9 9 5 6 9 7 8 3 8 2 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 5 8 2 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True]"
4.0 0.0001730106052742471 "[9 7 9 6 9 9 5 6 9 7 8 3 8 2 8 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 5 8 2 8 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True  True]"
4.25 0.00033266915032055706 "[9 7 9 6 9 9 5 6 9 7 8 7 3 8 2 8 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 7 5 8 2 8 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True  True  True  True]"
4.5 0.0008427896826284449 "[9 7 9 6 9 9 5 6 9 7 8 8 7 3 8 2 8 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 8 7 5 8 2 8 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True]"
4.75 0.0012337351020171318 "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 3 8 2 8 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 5 8 2 8 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
