Prediction _compress,Labels,Entropy,Binary_Labels
3,3,0.316678549,1
8,8,0.923480886,1
8,8,0.602182743,1
8,0,0.638662709,0
6,6,0.198454035,1
6,6,0.092813644,1
1,1,0.069603798,1
2,6,1.19615721,0
3,3,0.941219217,1
1,1,0.167460064,1
0,0,1.351319052,1
9,9,0.00392026,1
5,5,2.123770428,1
7,7,0.210515064,1
9,9,0.004883267,1
6,8,0.648306257,0
5,5,0.404197978,1
7,7,1.383131449,1
8,8,0.613001727,1
6,6,0.188778271,1
7,7,0.040742938,1
2,0,0.918452947,0
4,4,1.993335507,1
9,9,0.000183867,1
4,5,1.077744681,0
2,2,1.826584826,1
2,4,2.163536426,0
0,0,1.536566771,1
9,9,0.000166747,1
6,6,0.208394127,1
6,6,0.724521405,1
5,5,1.292764719,1
6,4,1.45798564,0
3,5,2.071842894,0
9,9,0.000145844,1
1,2,1.92634827,0
4,4,0.803059623,1
1,1,1.007895526,1
9,9,0.000331349,1
5,5,0.036945466,1
4,4,1.285207924,1
6,6,0.060125582,1
5,5,1.810918952,1
6,6,0.091113332,1
0,0,0.127755748,1
9,9,0.009333924,1
3,3,0.803868305,1
3,9,1.616777488,0
7,7,0.318898589,1
6,6,1.160365539,1
9,9,0.037294206,1
8,8,0.376698668,1
0,0,1.003158921,1
6,3,1.020491148,0
8,8,0.011616017,1
8,8,0.058027147,1
7,7,0.236058036,1
3,7,1.803998865,0
3,4,2.054775073,0
6,6,1.558750278,1
7,7,0.002019246,1
3,3,1.267412417,1
6,6,0.473019205,1
3,3,0.625999998,1
6,6,1.043265016,1
2,2,0.870769963,1
1,1,0.017685207,1
2,2,0.113936805,1
3,3,1.820232395,1
9,7,2.084120185,0
2,2,2.3809679,1
6,6,1.354999003,1
8,8,0.074937806,1
8,8,0.08781411,1
0,0,0.844870435,1
2,2,0.287630142,1
9,9,0.496761169,1
3,3,1.271981011,1
5,3,1.530467282,0
8,8,0.09029862,1
8,8,0.015474099,1
1,1,0.062809956,1
1,1,0.000310928,1
7,7,0.7077229,1
2,2,1.502173284,1
9,5,2.599718682,0
2,2,0.442858299,1
0,7,2.292886017,0
8,8,1.016948714,1
9,9,0.017051096,1
