,0,1,2,3
0,3,3,3,3
1,8,8,8,8
2,8,8,8,8
3,0,0,0,0
4,6,6,6,6
5,6,6,6,6
6,1,1,1,1
7,6,6,6,6
8,3,3,3,3
9,1,1,1,1
,0,1,2,3
0,3,3,3,3
1,8,8,8,8
2,8,8,8,8
3,0,0,0,0
4,6,6,6,6
5,6,6,6,6
6,1,1,1,1
7,6,6,6,6
8,3,3,3,3
9,1,1,1,1
10,0,0,0,0
11,9,9,9,9
12,5,5,5,5
13,7,7,7,7
14,9,9,9,9
15,8,8,8,8
16,5,5,5,5
17,7,7,7,7
18,8,8,8,8
19,6,6,6,6
20,7,7,7,7
21,0,0,0,0
22,4,4,4,4
23,9,9,9,9
24,5,5,5,5
25,2,2,2,2
26,4,4,4,4
27,0,0,0,0
28,9,9,9,9
29,6,6,6,6
30,6,6,6,6
31,5,5,5,5
32,4,4,4,4
33,5,5,5,5
34,9,9,9,9
35,2,2,2,2
36,4,4,4,4
37,1,1,1,1
38,9,9,9,9
39,5,5,5,5
40,4,4,4,4
41,6,6,6,6
42,5,5,5,5
43,6,6,6,6
44,0,0,0,0
45,9,9,9,9
46,3,3,3,3
47,9,9,9,9
48,7,7,7,7
49,6,6,6,6
50,9,9,9,9
51,8,8,8,8
52,0,0,0,0
53,3,3,3,3
54,8,8,8,8
55,8,8,8,8
56,7,7,7,7
57,7,7,7,7
58,4,4,4,4
59,6,6,6,6
60,7,7,7,7
61,3,3,3,3
62,6,6,6,6
63,3,3,3,3
64,6,6,6,6
65,2,2,2,2
66,1,1,1,1
67,2,2,2,2
68,3,3,3,3
69,7,7,7,7
70,2,2,2,2
71,6,6,6,6
72,8,8,8,8
73,8,8,8,8
74,0,0,0,0
75,2,2,2,2
76,9,9,9,9
77,3,3,3,3
78,3,3,3,3
79,8,8,8,8
80,8,8,8,8
81,1,1,1,1
82,1,1,1,1
83,7,7,7,7
84,2,2,2,2
85,5,5,5,5
86,2,2,2,2
87,7,7,7,7
88,8,8,8,8
89,9,9,9,9
90,0,0,0,0
91,3,3,3,3
92,8,8,8,8
93,6,6,6,6
94,4,4,4,4
95,6,6,6,6
96,6,6,6,6
97,0,0,0,0
98,0,0,0,0
99,7,7,7,7
100,4,4,4,4
101,5,5,5,5
102,6,6,6,6
103,3,3,3,3
104,1,1,1,1
105,1,1,1,1
106,3,3,3,3
107,6,6,6,6
108,8,8,8,8
109,7,7,7,7
110,4,4,4,4
111,0,0,0,0
112,6,6,6,6
113,2,2,2,2
114,1,1,1,1
115,3,3,3,3
116,0,0,0,0
117,4,4,4,4
118,2,2,2,2
119,7,7,7,7
120,8,8,8,8
121,3,3,3,3
122,1,1,1,1
123,2,2,2,2
124,8,8,8,8
125,0,0,0,0
126,8,8,8,8
127,3,3,3,3
128,5,5,5,5
129,2,2,2,2
130,4,4,4,4
131,1,1,1,1
132,8,8,8,8
133,9,9,9,9
134,1,1,1,1
135,2,2,2,2
136,9,9,9,9
137,7,7,7,7
138,2,2,2,2
139,9,9,9,9
140,6,6,6,6
141,5,5,5,5
142,6,6,6,6
143,3,3,3,3
144,8,8,8,8
145,7,7,7,7
146,6,6,6,6
147,2,2,2,2
148,5,5,5,5
149,2,2,2,2
150,8,8,8,8
151,9,9,9,9
152,6,6,6,6
153,0,0,0,0
154,0,0,0,0
155,5,5,5,5
156,2,2,2,2
157,9,9,9,9
158,5,5,5,5
159,4,4,4,4
160,2,2,2,2
161,1,1,1,1
162,6,6,6,6
163,6,6,6,6
164,8,8,8,8
165,4,4,4,4
166,8,8,8,8
167,4,4,4,4
168,5,5,5,5
169,0,0,0,0
170,9,9,9,9
171,9,9,9,9
172,9,9,9,9
173,8,8,8,8
174,9,9,9,9
175,9,9,9,9
176,3,3,3,3
177,7,7,7,7
178,5,5,5,5
179,0,0,0,0
180,0,0,0,0
181,5,5,5,5
182,2,2,2,2
183,2,2,2,2
184,3,3,3,3
