,0,1,2,3
0,3,3,3,3
1,8,8,8,8
2,1,1,8,1
3,0,8,8,1
4,6,6,6,6
5,6,3,6,6
6,3,9,1,3
7,2,6,6,6
8,3,4,5,3
9,1,9,1,1
,0,1,2,3
0,3,3,3,3
1,8,8,8,8
2,1,1,8,1
3,0,8,8,1
4,6,6,6,6
5,6,3,6,6
6,3,9,1,3
7,2,6,6,6
8,3,4,5,3
9,1,9,1,1
10,0,8,3,3
11,9,9,9,9
12,5,7,5,5
13,7,7,7,7
14,9,9,9,9
15,8,8,8,8
16,5,5,5,5
17,9,7,7,9
18,8,8,8,8
19,6,6,6,6
20,7,7,7,7
21,2,2,2,2
22,0,2,2,4
23,9,9,9,9
24,4,4,4,4
25,2,6,4,2
26,4,4,4,4
27,4,4,4,4
28,9,9,9,9
29,6,6,6,6
30,6,6,6,6
31,5,5,5,5
32,4,6,4,4
33,3,5,5,3
34,9,9,9,9
35,1,5,3,3
36,4,7,7,4
37,9,9,9,9
38,9,9,9,9
39,5,5,5,5
40,4,4,4,4
41,6,6,6,6
42,3,5,5,5
43,6,6,6,6
44,0,8,8,8
45,9,9,9,9
46,3,5,5,3
47,9,9,9,9
48,7,4,7,7
49,4,6,6,2
50,9,9,9,9
51,8,8,8,8
52,7,7,5,7
53,3,3,3,3
54,8,8,8,8
55,8,8,8,8
56,7,7,7,7
57,5,8,5,5
58,5,9,5,5
59,3,5,5,3
60,7,7,7,7
61,5,5,5,5
62,6,6,6,6
63,9,9,3,3
64,6,6,6,6
65,2,6,6,2
66,1,9,8,1
67,2,2,2,2
68,3,5,5,3
69,9,9,9,9
70,2,4,8,2
71,6,6,6,3
72,8,8,8,8
73,8,8,8,8
74,9,8,9,9
75,2,2,2,2
76,9,9,9,9
77,3,5,3,3
78,5,5,5,3
79,8,8,8,8
80,8,9,8,8
81,1,9,1,1
82,1,1,1,1
83,7,7,5,7
84,5,5,3,5
85,7,7,7,7
86,2,4,2,2
87,0,8,8,9
88,8,8,9,8
89,9,9,9,9
90,0,8,8,9
91,3,6,5,3
92,8,8,8,8
93,6,6,6,6
94,7,7,7,7
95,6,6,6,6
96,6,6,6,6
97,0,2,8,2
98,0,3,5,2
99,7,3,7,7
100,7,5,7,7
101,5,5,5,5
102,6,6,6,6
103,3,3,3,3
104,1,1,1,1
105,1,8,8,1
106,3,3,3,3
107,6,6,6,6
108,8,8,8,8
109,7,5,5,7
110,4,4,4,6
111,0,2,8,8
112,1,6,6,6
113,2,5,2,2
114,1,9,9,1
115,0,4,1,3
116,0,2,4,2
117,4,4,4,4
118,5,7,5,7
119,5,5,5,5
120,0,9,8,8
121,3,5,7,7
122,1,9,9,1
123,2,3,6,2
124,8,8,8,8
125,2,6,2,2
126,8,8,8,8
127,3,3,3,3
128,6,6,6,6
129,2,7,5,2
130,4,4,4,2
131,1,9,1,1
132,8,9,9,8
133,9,9,9,9
134,1,3,3,1
135,2,2,5,2
136,9,9,9,9
137,7,7,7,7
138,2,2,4,2
139,8,8,8,8
140,4,4,6,4
141,5,5,5,5
142,6,6,6,6
143,7,7,7,7
144,8,9,8,8
145,7,3,7,7
146,6,6,6,6
147,6,6,5,6
148,5,7,5,5
149,2,7,5,2
150,0,1,8,8
151,9,9,5,9
152,6,6,6,6
153,0,9,9,9
154,0,3,5,3
155,5,6,5,5
156,5,3,5,5
157,9,9,9,9
158,3,5,5,3
159,4,4,4,4
160,2,2,2,2
161,1,1,1,1
162,4,5,5,4
163,6,6,6,6
164,8,8,8,8
165,2,7,4,2
166,8,8,8,8
167,2,6,4,2
168,5,5,5,5
169,8,8,8,8
170,9,9,9,9
171,9,9,9,9
172,9,1,9,9
173,8,8,8,8
174,9,9,9,9
175,9,9,9,9
176,3,6,5,3
177,7,6,7,7
178,5,3,5,3
179,0,9,7,7
180,0,9,9,8
181,5,5,5,5
182,2,6,2,2
183,6,9,2,6
184,3,6,6,3
